Week 2397: SIRGAS sol aligned to IGb20 (igs25P2397)              05-FEB-26 12:35
--------------------------------------------------------------------------------
LOCAL GEODETIC DATUM: IGb20             EPOCH: 2025-12-17 12:00:00

NUM  STATION NAME           X (M)          Y (M)          Z (M)     FLAG

384  GUAX 40512M001   -2648837.25784 -4921545.53318  3062675.71452    A
385  GUAY 41549M001    2790303.11540 -4648662.29045 -3348153.27718    A
393  GZEC 42032M001    1260716.84223 -6241813.24666  -375920.52873    A
398  HC03 42238M002    1495418.92948 -6104565.11559 -1093244.03127    A
405  HLFX 40120M001    2018905.42963 -4069070.52503  4462415.53200    A
423  HV01 42224M001    1614434.98297 -6011610.37559 -1403205.50263    A
425  IACR 41721M001    2036608.52266 -5698319.68522 -2008830.80484    A
426  IBAG 41918S001    1623166.64867 -6149837.60595   489244.47049    A
427  IBEC 42024M001    1313927.98304 -6243506.43525    38732.00037    A
428  IC01 42215M001    1524850.26572 -5997490.64089 -1541168.54617    A
429  ICAM 40514M002     -55248.76998 -6001113.48410  2152446.16953    A
430  ICEC 42025M002      44082.67067 -6377241.80765  -100324.92173    A
431  ICEP 40531M001    -859277.46858 -5972129.03986  2067506.57709    A
433  IDGO 40532M001   -1469909.86462 -5640213.55981  2585866.44925    A
435  IFSC 48064M001    3745131.65805 -4239371.69324 -2936760.28733    A
437  IGM1 41505M003    2751804.05482 -4479879.46326 -3598922.34489    A
438  IGN1 41303M001    1144297.37515 -6195649.74695   989518.75677    A
441  IKEC 42056M001    1340954.99919 -6235350.01722  -104837.89880    A
442  ILHA 41634M001    3735306.35060 -4669666.52645 -2212269.17925    A
444  IMPZ 41615M001    4289656.36138 -4680885.00670  -606346.99841    A
445  INEC 42055M001    1140219.39096 -6263166.95751  -406773.47227    A
446  INEG 40507M001   -1260435.72209 -5788546.47136  2360339.71267    A
447  INVK 40150M001   -1628432.52114 -1714393.09160  5903844.52324    W
448  IPAZ 40521M002   -2023265.94010 -5460589.56026  2592968.50800    A
449  IQAL 40194M001    1036000.71703 -2631455.62008  5697819.79287    A
450  IQQE 41708S002    2034208.29420 -5629172.50287 -2196141.59825    A
456  ISPA 41703M007   -1881702.33085 -5359980.11816 -2890599.35835    A
458  ITAI 48058M001    3340128.19558 -4697983.88805 -2721315.24140    A
464  JBAL 41537M001    2335115.64506 -5153171.52404 -2935953.01034    A
467  JNEC 42034M002    1060551.80376 -6287135.92855  -171641.29675    A
471  JPLM 40400M007   -2493305.02985 -4655214.74307  3565497.69148    A
